,County,Population
465,".Jasper County, Georgia",14219
466,".Jeff Davis County, Georgia",15115
467,".Jefferson County, Georgia",15362
468,".Jenkins County, Georgia",8676
469,".Johnson County, Georgia",9643
470,".Jones County, Georgia",28735
471,".Lamar County, Georgia",19077
472,".Lanier County, Georgia",10423
473,".Laurens County, Georgia",47546
474,".Lee County, Georgia",29992
475,".Liberty County, Georgia",61435
476,".Lincoln County, Georgia",7921
477,".Long County, Georgia",19559
478,".Lowndes County, Georgia",117406
479,".Lumpkin County, Georgia",33610
480,".McDuffie County, Georgia",21312
481,".McIntosh County, Georgia",14378
482,".Macon County, Georgia",12947
483,".Madison County, Georgia",29880
484,".Marion County, Georgia",8359
485,".Meriwether County, Georgia",21167
486,".Miller County, Georgia",5718
487,".Mitchell County, Georgia",21863
488,".Monroe County, Georgia",27578
489,".Montgomery County, Georgia",9172
490,".Morgan County, Georgia",19276
491,".Murray County, Georgia",40096
492,".Muscogee County, Georgia",195769
493,".Newton County, Georgia",111744
494,".Oconee County, Georgia",40280
495,".Oglethorpe County, Georgia",15259
496,".Paulding County, Georgia",168667
497,".Peach County, Georgia",27546
498,".Pickens County, Georgia",32591
499,".Pierce County, Georgia",19465
500,".Pike County, Georgia",18962
501,".Polk County, Georgia",42613
502,".Pulaski County, Georgia",11137
503,".Putnam County, Georgia",22119
504,".Quitman County, Georgia",2299
505,".Rabun County, Georgia",17137
506,".Randolph County, Georgia",6778
507,".Richmond County, Georgia",202518
508,".Rockdale County, Georgia",90896
509,".Schley County, Georgia",5257
510,".Screven County, Georgia",13966
511,".Seminole County, Georgia",8090
512,".Spalding County, Georgia",66703
513,".Stephens County, Georgia",25925
514,".Stewart County, Georgia",6621
515,".Sumter County, Georgia",29524
516,".Talbot County, Georgia",6195
517,".Taliaferro County, Georgia",1537
518,".Tattnall County, Georgia",25286
519,".Taylor County, Georgia",8020
520,".Telfair County, Georgia",15860
521,".Terrell County, Georgia",8531
522,".Thomas County, Georgia",44451
523,".Tift County, Georgia",40644
524,".Toombs County, Georgia",26830
525,".Towns County, Georgia",12037
526,".Treutlen County, Georgia",6901
527,".Troup County, Georgia",69922
528,".Turner County, Georgia",7985
529,".Twiggs County, Georgia",8120
530,".Union County, Georgia",24511
531,".Upson County, Georgia",26320
532,".Walker County, Georgia",69761
533,".Walton County, Georgia",94593
534,".Ware County, Georgia",35734
535,".Warren County, Georgia",5254
536,".Washington County, Georgia",20374
537,".Wayne County, Georgia",29927
538,".Webster County, Georgia",2607
539,".Wheeler County, Georgia",7855
540,".White County, Georgia",30798
541,".Whitfield County, Georgia",104628
542,".Wilcox County, Georgia",8635
543,".Wilkes County, Georgia",9777
544,".Wilkinson County, Georgia",8954
545,".Worth County, Georgia",20247
546,".Hawaii County, Hawaii",201513
547,".Honolulu County, Hawaii",974563
548,".Kalawao County, Hawaii",86
549,".Kauai County, Hawaii",72293
550,".Maui County, Hawaii",167417
551,".Ada County, Idaho",481587
552,".Adams County, Idaho",4294
553,".Bannock County, Idaho",87808
554,".Bear Lake County, Idaho",6125
555,".Benewah County, Idaho",9298
556,".Bingham County, Idaho",46811
557,".Blaine County, Idaho",23021
558,".Boise County, Idaho",7831
559,".Bonner County, Idaho",45739
560,".Bonneville County, Idaho",119062
561,".Boundary County, Idaho",12245
562,".Butte County, Idaho",2597
563,".Camas County, Idaho",1106
564,".Canyon County, Idaho",229849
565,".Caribou County, Idaho",7155
566,".Cassia County, Idaho",24030
567,".Clark County, Idaho",845
568,".Clearwater County, Idaho",8756
569,".Custer County, Idaho",4315
570,".Elmore County, Idaho",27511
571,".Franklin County, Idaho",13876
572,".Fremont County, Idaho",13099
573,".Gem County, Idaho",18112
574,".Gooding County, Idaho",15179
575,".Idaho County, Idaho",16667
576,".Jefferson County, Idaho",29871
577,".Jerome County, Idaho",24412
578,".Kootenai County, Idaho",165697
579,".Latah County, Idaho",40108
580,".Lemhi County, Idaho",8027
581,".Lewis County, Idaho",3838
582,".Lincoln County, Idaho",5366
583,".Madison County, Idaho",39907
584,".Minidoka County, Idaho",21039
585,".Nez Perce County, Idaho",40408
586,".Oneida County, Idaho",4531
587,".Owyhee County, Idaho",11823
588,".Payette County, Idaho",23951
589,".Power County, Idaho",7681
590,".Shoshone County, Idaho",12882
591,".Teton County, Idaho",12142
592,".Twin Falls County, Idaho",86878
593,".Valley County, Idaho",11392
594,".Washington County, Idaho",10194
595,".Adams County, Illinois",65435
596,".Alexander County, Illinois",5761
597,".Bond County, Illinois",16426
598,".Boone County, Illinois",53544
599,".Brown County, Illinois",6578
600,".Bureau County, Illinois",32628
601,".Calhoun County, Illinois",4739
602,".Carroll County, Illinois",14305
603,".Cass County, Illinois",12147
604,".Champaign County, Illinois",209689
605,".Christian County, Illinois",32304
606,".Clark County, Illinois",15441
607,".Clay County, Illinois",13184
608,".Clinton County, Illinois",37562
609,".Coles County, Illinois",50621
610,".Cook County, Illinois",5150233
611,".Crawford County, Illinois",18667
612,".Cumberland County, Illinois",10766
613,".DeKalb County, Illinois",104897
614,".De Witt County, Illinois",15638
615,".Douglas County, Illinois",19465
616,".DuPage County, Illinois",922921
617,".Edgar County, Illinois",17161
618,".Edwards County, Illinois",6395
619,".Effingham County, Illinois",34008
620,".Fayette County, Illinois",21336
621,".Ford County, Illinois",12961
622,".Franklin County, Illinois",38469
623,".Fulton County, Illinois",34340
624,".Gallatin County, Illinois",4828
625,".Greene County, Illinois",12969
626,".Grundy County, Illinois",51054
627,".Hamilton County, Illinois",8116
628,".Hancock County, Illinois",17708
629,".Hardin County, Illinois",3821
630,".Henderson County, Illinois",6646
631,".Henry County, Illinois",48913
632,".Iroquois County, Illinois",27114
633,".Jackson County, Illinois",56750
634,".Jasper County, Illinois",9610
635,".Jefferson County, Illinois",37684
636,".Jersey County, Illinois",21773
637,".Jo Daviess County, Illinois",21235
638,".Johnson County, Illinois",12417
639,".Kane County, Illinois",532403
640,".Kankakee County, Illinois",109862
641,".Kendall County, Illinois",128990
642,".Knox County, Illinois",49699
643,".Lake County, Illinois",696535
644,".LaSalle County, Illinois",108669
645,".Lawrence County, Illinois",15678
646,".Lee County, Illinois",34096
647,".Livingston County, Illinois",35648
648,".Logan County, Illinois",28618
649,".McDonough County, Illinois",29682
650,".McHenry County, Illinois",307774
651,".McLean County, Illinois",171517
652,".Macon County, Illinois",104009
653,".Macoupin County, Illinois",44926
654,".Madison County, Illinois",262966
655,".Marion County, Illinois",37205
656,".Marshall County, Illinois",11438
657,".Mason County, Illinois",13359
658,".Massac County, Illinois",13772
659,".Menard County, Illinois",12196
660,".Mercer County, Illinois",15437
661,".Monroe County, Illinois",34637
662,".Montgomery County, Illinois",28414
663,".Morgan County, Illinois",33658
664,".Moultrie County, Illinois",14501
665,".Ogle County, Illinois",50643
666,".Peoria County, Illinois",179179
667,".Perry County, Illinois",20916
668,".Piatt County, Illinois",16344
669,".Pike County, Illinois",15561
670,".Pope County, Illinois",4177
671,".Pulaski County, Illinois",5335
672,".Putnam County, Illinois",5739
673,".Randolph County, Illinois",31782
674,".Richland County, Illinois",15513
675,".Rock Island County, Illinois",141879
676,".St. Clair County, Illinois",259686
677,".Saline County, Illinois",23491
678,".Sangamon County, Illinois",194672
679,".Schuyler County, Illinois",6768
680,".Scott County, Illinois",4951
681,".Shelby County, Illinois",21634
682,".Stark County, Illinois",5342
683,".Stephenson County, Illinois",44498
684,".Tazewell County, Illinois",131803
685,".Union County, Illinois",16653
686,".Vermilion County, Illinois",75758
687,".Wabash County, Illinois",11520
688,".Warren County, Illinois",16844
689,".Washington County, Illinois",13887
690,".Wayne County, Illinois",16215
691,".White County, Illinois",13537
692,".Whiteside County, Illinois",55175
693,".Will County, Illinois",690743
694,".Williamson County, Illinois",66597
695,".Winnebago County, Illinois",282572
696,".Woodford County, Illinois",38459
697,".Adams County, Indiana",35777
698,".Allen County, Indiana",379299
699,".Bartholomew County, Indiana",83779
700,".Benton County, Indiana",8748
701,".Blackford County, Indiana",11758
702,".Boone County, Indiana",67843
703,".Brown County, Indiana",15092
704,".Carroll County, Indiana",20257
705,".Cass County, Indiana",37689
706,".Clark County, Indiana",118302
707,".Clay County, Indiana",26225
708,".Clinton County, Indiana",32399
709,".Crawford County, Indiana",10577
710,".Daviess County, Indiana",33351
711,".Dearborn County, Indiana",49458
712,".Decatur County, Indiana",26559
713,".DeKalb County, Indiana",43475
714,".Delaware County, Indiana",114135
715,".Dubois County, Indiana",42736
716,".Elkhart County, Indiana",206341
717,".Fayette County, Indiana",23102
718,".Floyd County, Indiana",78522
719,".Fountain County, Indiana",16346
720,".Franklin County, Indiana",22758
721,".Fulton County, Indiana",19974
722,".Gibson County, Indiana",33659
723,".Grant County, Indiana",65769
724,".Greene County, Indiana",31922
725,".Hamilton County, Indiana",338011
726,".Hancock County, Indiana",78168
727,".Harrison County, Indiana",40515
728,".Hendricks County, Indiana",170311
729,".Henry County, Indiana",47972
730,".Howard County, Indiana",82544
731,".Huntington County, Indiana",36520
732,".Jackson County, Indiana",44231
733,".Jasper County, Indiana",33562
734,".Jay County, Indiana",20436
735,".Jefferson County, Indiana",32308
736,".Jennings County, Indiana",27735
737,".Johnson County, Indiana",158167
738,".Knox County, Indiana",36594
739,".Kosciusko County, Indiana",79456
740,".LaGrange County, Indiana",39614
741,".Lake County, Indiana",485493
742,".LaPorte County, Indiana",109888
743,".Lawrence County, Indiana",45370
744,".Madison County, Indiana",129569
745,".Marion County, Indiana",964582
746,".Marshall County, Indiana",46258
747,".Martin County, Indiana",10255
748,".Miami County, Indiana",35516
749,".Monroe County, Indiana",148431
750,".Montgomery County, Indiana",38338
751,".Morgan County, Indiana",70489
752,".Newton County, Indiana",13984
753,".Noble County, Indiana",47744
754,".Ohio County, Indiana",5875
755,".Orange County, Indiana",19646
756,".Owen County, Indiana",20799
757,".Parke County, Indiana",16937
758,".Perry County, Indiana",19169
759,".Pike County, Indiana",12389
760,".Porter County, Indiana",170389
761,".Posey County, Indiana",25427
762,".Pulaski County, Indiana",12353
763,".Putnam County, Indiana",37576
764,".Randolph County, Indiana",24665
765,".Ripley County, Indiana",28324
766,".Rush County, Indiana",16581
767,".St. Joseph County, Indiana",271826
768,".Scott County, Indiana",23873
769,".Shelby County, Indiana",44729
770,".Spencer County, Indiana",20277
771,".Starke County, Indiana",22995
772,".Steuben County, Indiana",34594
773,".Sullivan County, Indiana",20669
774,".Switzerland County, Indiana",10751
775,".Tippecanoe County, Indiana",195732
776,".Tipton County, Indiana",15148
777,".Union County, Indiana",7054
778,".Vanderburgh County, Indiana",181451
779,".Vermillion County, Indiana",15498
780,".Vigo County, Indiana",107038
781,".Wabash County, Indiana",30996
782,".Warren County, Indiana",8265
783,".Warrick County, Indiana",62998
784,".Washington County, Indiana",28036
785,".Wayne County, Indiana",65884
786,".Wells County, Indiana",28296
787,".White County, Indiana",24102
788,".Whitley County, Indiana",33964
789,".Adair County, Iowa",7152
790,".Adams County, Iowa",3602
791,".Allamakee County, Iowa",13687
792,".Appanoose County, Iowa",12426
793,".Audubon County, Iowa",5496
794,".Benton County, Iowa",25645
795,".Black Hawk County, Iowa",131228
796,".Boone County, Iowa",26234
797,".Bremer County, Iowa",25062
798,".Buchanan County, Iowa",21175
799,".Buena Vista County, Iowa",19620
800,".Butler County, Iowa",14439
801,".Calhoun County, Iowa",9668
802,".Carroll County, Iowa",20165
803,".Cass County, Iowa",12836
804,".Cedar County, Iowa",18627
805,".Cerro Gordo County, Iowa",42450
806,".Cherokee County, Iowa",11235
807,".Chickasaw County, Iowa",11933
808,".Clarke County, Iowa",9395
809,".Clay County, Iowa",16016
810,".Clayton County, Iowa",17549
811,".Clinton County, Iowa",46429
812,".Crawford County, Iowa",16820
813,".Dallas County, Iowa",93453
814,".Davis County, Iowa",9000
815,".Decatur County, Iowa",7870
816,".Delaware County, Iowa",17011
817,".Des Moines County, Iowa",38967
818,".Dickinson County, Iowa",17258
819,".Dubuque County, Iowa",97311
